x,y
698118.9,3839930.1
698143.2,3839935.5
698167.6,3839941.0
698191.9,3839946.5
698216.3,3839952.0
698240.6,3839957.5
698265.0,3839963.0
698289.3,3839968.7
698313.7,3839974.5
698338.0,3839980.2
698362.3,3839986.0
698386.6,3839991.7
698411.0,3839997.4
698435.3,3840003.2
698459.6,3840008.9
698484.0,3840014.6
698508.3,3840020.4
698532.6,3840026.1
698557.0,3840031.8
698581.3,3840037.6
698605.6,3840043.3
698629.9,3840049.1
698654.3,3840054.8
698678.6,3840060.5
698702.9,3840066.3
698727.3,3840072.0
698751.6,3840077.7
698775.9,3840083.5
698800.2,3840089.2
698824.6,3840095.0
698848.9,3840100.7
698873.2,3840106.4
698897.6,3840112.2
698921.9,3840117.9
698946.2,3840123.6
698970.5,3840129.4
698994.9,3840135.1
699019.2,3840140.8
699043.5,3840146.6
699067.9,3840152.3
699092.2,3840158.1
699116.5,3840163.8
699140.8,3840169.5
699165.2,3840175.3
699189.5,3840181.0
699213.8,3840186.7
699238.2,3840192.5
699262.5,3840198.2
699286.8,3840204.0
699311.1,3840209.7
699335.5,3840215.4
699359.8,3840221.2
699384.1,3840226.9
699408.5,3840232.6
699432.8,3840238.4
699457.1,3840244.1
699481.5,3840249.8
699505.8,3840255.6
699530.1,3840261.3
699554.4,3840267.1
699578.8,3840272.8
699603.1,3840278.5
699627.4,3840284.3
699651.8,3840290.0
699676.1,3840295.7
699700.4,3840301.5
699724.7,3840307.2
699749.1,3840313.0
699773.4,3840318.7
699797.7,3840324.4
699822.1,3840330.2
699846.4,3840335.9
699870.7,3840341.6
699895.0,3840347.4
699919.4,3840353.1
699943.7,3840358.8
699968.0,3840364.6
699992.4,3840370.3
700016.7,3840376.1
700041.0,3840381.8
700065.3,3840387.5
700089.7,3840393.3
700114.0,3840399.0
700138.3,3840404.8
700162.7,3840410.6
700187.0,3840416.4
700211.4,3840422.2
700235.7,3840428.0
700260.0,3840433.8
700284.4,3840439.6
700308.7,3840445.5
700333.0,3840451.3
700357.4,3840457.1
700381.7,3840462.9
700406.0,3840468.7
700430.4,3840474.5
700454.7,3840480.3
700479.1,3840486.1
700503.4,3840491.9
700527.7,3840497.7
700552.1,3840503.5
700576.4,3840509.3
700600.7,3840515.1
700625.1,3840520.9
700649.4,3840526.7
700673.7,3840532.5
700698.1,3840538.4
700722.4,3840544.2
700746.8,3840550.0
700771.1,3840555.8
700795.4,3840561.6
700819.8,3840567.4
700844.1,3840573.2
700868.4,3840579.0
